Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments
S100274204,Northern Shoveler,Spatula clypeata,443,37,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Green-winged Teal,Anas crecca,541,1,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Little Grebe,Tachybaptus ruficollis,1758,43,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Red Collared-Dove,Streptopelia tranquebarica,2024,46,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Black-winged Stilt,Himantopus himantopus,5619,13,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Pied Avocet,Recurvirostra avosetta,5633,15,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Pacific Golden-Plover,Pluvialis fulva,5669,363,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Kentish Plover,Charadrius alexandrinus,5750,1,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Dunlin,Calidris alpina,5923,11,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Common Sandpiper,Actitis hypoleucos,6025,1,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Common Greenshank,Tringa nebularia,6037,6,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Common Redshank,Tringa totanus,6047,1,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,shorebird sp.,Charadriiformes sp.,6167,5,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Black-headed Gull,Chroicocephalus ridibundus,6285,4,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Caspian Tern,Hydroprogne caspia,6501,3,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Whiskered Tern,Chlidonias hybrida,6507,9,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Great Egret,Ardea alba,7200,5,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Little Egret,Egretta garzetta,7217,21,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Striated Heron,Butorides striata,7267,2,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Black-crowned Night-Heron,Nycticorax nycticorax,7305,5,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Common Kingfisher,Alcedo atthis,9389,1,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Plain Prinia,Prinia inornata,22454,3,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Pacific Swallow,Hirundo tahitica,23319,6,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Light-vented Bulbul,Pycnonotus sinensis,23672,15,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Javan Myna,Acridotheres javanicus,26952,3,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Scaly-breasted Munia,Lonchura punctulata,30045,2,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100274204,Eurasian Tree Sparrow,Passer montanus,30560,36,TW-CYQ,,L17352184,白水湖鹽田,23.420503,120.161195,2022-01-07,15:54,eBird - Traveling Count,24.0,1,3.888,,3,,,NYBC 白水湖鹽田
S100263029,Eurasian Wigeon,Mareca penelope,454,2,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Little Grebe,Tachybaptus ruficollis,1758,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1842,31,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Spotted Dove,Streptopelia chinensis,2034,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Eurasian Moorhen,Gallinula chloropus,5321,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Black-winged Stilt,Himantopus himantopus,5619,15,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Kentish Plover,Charadrius alexandrinus,5750,13,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Dunlin,Calidris alpina,5923,9,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Common Greenshank,Tringa nebularia,6037,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Common Redshank,Tringa totanus,6047,5,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Black-headed Gull,Chroicocephalus ridibundus,6285,569,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Herring Gull (Vega),Larus argentatus vegae,6341,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Caspian Tern,Hydroprogne caspia,6501,2,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Whiskered Tern,Chlidonias hybrida,6507,20,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Gray Heron,Ardea cinerea,7176,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Great Egret,Ardea alba,7200,5,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Intermediate Egret,Ardea intermedia,7207,2,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Little Egret,Egretta garzetta,7217,20,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Black-crowned Night-Heron,Nycticorax nycticorax,7305,3,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Brown Shrike,Lanius cristatus,20246,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Gray-throated Martin,Riparia chinensis,23238,80,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Barn Swallow,Hirundo rustica,23291,2,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,Eurasian Tree Sparrow,Passer montanus,30560,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100263029,White Wagtail (Chinese),Motacilla alba leucopsis,30686,1,TW-CYQ,,L17350514,"西濱公路, 東石鄉, TW (23.459, 120.166)",23.4593761,120.166014,2022-01-07,15:12,eBird - Traveling Count,47.04,1,7.64,,3,,,
S100274191,Northern Shoveler,Spatula clypeata,443,69,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Northern Pintail,Anas acuta,526,3,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Red Collared-Dove,Streptopelia tranquebarica,2024,3,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Black-winged Stilt,Himantopus himantopus,5619,3,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Pied Avocet,Recurvirostra avosetta,5633,63,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Black-bellied Plover,Pluvialis squatarola,5664,3,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Pacific Golden-Plover,Pluvialis fulva,5669,8,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Kentish Plover,Charadrius alexandrinus,5750,776,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Red-necked Stint,Calidris ruficollis,5921,49,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Dunlin,Calidris alpina,5923,427,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Common Greenshank,Tringa nebularia,6037,1,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Black-headed Gull,Chroicocephalus ridibundus,6285,70,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Herring Gull,Larus argentatus,6339,1,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Whiskered Tern,Chlidonias hybrida,6507,1,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Great Cormorant,Phalacrocorax carbo,7042,39,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Gray Heron,Ardea cinerea,7176,4,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Great Egret,Ardea alba,7200,7,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Little Egret,Egretta garzetta,7217,8,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Black-crowned Night-Heron,Nycticorax nycticorax,7305,1,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Plain Prinia,Prinia inornata,22454,3,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Light-vented Bulbul,Pycnonotus sinensis,23672,2,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Javan Myna,Acridotheres javanicus,26952,2,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Scaly-breasted Munia,Lonchura punctulata,30045,8,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100274191,Eurasian Tree Sparrow,Passer montanus,30560,16,TW-CYQ,,L4134411,嘉義朴子溪口IBA--東石網寮(Puzi River Estuary IBA--Dongshi Wangliao),23.436818,120.1545954,2022-01-07,15:10,eBird - Traveling Count,40.02,1,2.306,,3,,,NYBC 網寮鹽田南
S100262553,Little Grebe,Tachybaptus ruficollis,1758,7,TW-CYQ,,L17350432,"東石鄉, TW (23.458, 120.154)",23.45844,120.1537305,2022-01-07,14:50,eBird - Traveling Count,22.02,1,2.51,,3,,,
S100262553,Spotted Dove,Streptopelia chinensis,2034,2,TW-CYQ,,L17350432,"東石鄉, TW (23.458, 120.154)",23.45844,120.1537305,2022-01-07,14:50,eBird - Traveling Count,22.02,1,2.51,,3,,,
